station,trawl,trawl_date,water_body,location,station_class,lon_start,lat_start,lon_end,lat_end,time_start,time_end,vessel_speed_start_knts,vessel_speed_end_knts,flowm_read_start,flowm_read_end,flowm_dist_m,flowm_area_km2,team,sea_state,wet_mass,dry_mass,air_vel_avg_kt,cloud_cover_avg,air_temp_avg_C,water_temp_avg_C,E_wtr_vel_surf_avg_kt,N_wtr_vel_surf_avg_kt,wv_drctn_avg,wv_prd_avg,sig_wv_ht_avg_m
NK 0003,NK 0003-1,15-May-14,Lake St. Clair,Lake St. Clair,River plume,-82.739120,42.486580,-82.754710,42.481440,12:07,12:27,NA,2.0,000000,058963,1584.514284,0.0009665539999999999,"Greg, Sarah, Rachel, Melissa D.",1-2,4.9,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
NK 0003,NK 0003-2,15-May-14,Lake St. Clair,Lake St. Clair,River plume,-82.759216,42.478024,-82.742142,42.487399,12:58,13:18,NA,2.0,058963,125675,1792.753369,0.00109358,"Greg, Sarah, Rachel, Melissa D.",2,7.81,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA
NK 0003,NK 0003-3,15-May-14,Lake St. Clair,Lake St. Clair,River plume,-82.739979,42.488525,-82.752296,42.485200,13:31,13:54,NA,2.0,125675,167104,1113.3226300000001,0.000679127,"Greg, Sarah, Rachel, Melissa D.",3,5.71,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA
NK 0004,NK 0004-1,15-May-14,Lake St. Clair,Lake St. Clair,River plume,-82.711555,42.556496,-82.696762,42.555866,15:13,15:34,NA,1.0,167145,229627,1679.0804649999998,0.001024239,"Greg, Sarah, Rachel, Melissa D.",1,17.23,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
NK 0005,NK 0005-2,16-May-14,Lake St. Clair,Lake St. Clair,River plume,-82.782166,42.471820,-82.766550,42.473438,12:18,12:38,NA,NA,466229,527973,1659.2481710000002,0.001012141,"Greg, Sarah, Rachel, Melissa D.",0,NA,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA
NK 0005,NK 0005-3,16-May-14,Lake St. Clair,Lake St. Clair,River plume,-82.759926,42.473690,-82.778473,42.465530,12:50,13:10,NA,NA,527973,592616,1737.153076,0.001059663,"Greg, Sarah, Rachel, Melissa D.",0,33.96,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA
NK 0005,NK 0005-4,16-May-14,Lake St. Clair,Lake St. Clair,River plume,-82.734103,42.462555,-82.767760,42.467216,13:25,13:45,NA,NA,529616,656845,3419.028336,0.002085607,"Greg, Sarah, Rachel, Melissa D.",0,113.25,14.56,NA,NA,NA,NA,NA,NA,NA,NA,NA
NK 0006,NK 0006-1,16-May-14,Lake St. Clair,Lake St. Clair,Urban,-82.703621,42.412777,-82.693405,42.399967,14:32,14:52,NA,NA,656835,727961,1911.370909,0.001165936,"Greg, Sarah, Rachel, Melissa D.",0,16.52,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
NK 0006,NK 0006-2,16-May-14,Lake St. Clair,Lake St. Clair,Urban,-82.690208,42.398563,-82.701668,42.407872,15:15,15:35,NA,NA,727961,789509,1653.981058,0.001008928,"Greg, Sarah, Rachel, Melissa D.",0,22.35,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA
NK 0006,NK 0006-3,16-May-14,Lake St. Clair,Lake St. Clair,Urban,-82.701302,42.407745,-82.690300,42.397888,15:50,16:10,NA,NA,789509,852474,1692.0601370000002,0.001032157,"Greg, Sarah, Rachel, Melissa D.",0,17.43,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
NK 0007,NK 0007-1,23-May-14,Detroit Rv.,Upstream of Detroit WWTP,Urban,-83.048900,42.324009,-83.041470,42.325649,11:28,11:48,0.9,1.6,852498,916175,1711.193732,0.0010438280000000001,"Greg, Sarah, Emma, Rachel, Melissa D.",0,33.11,2.51,NA,NA,NA,NA,NA,NA,NA,NA,NA
NK 0007,NK 0007-2,23-May-14,Detroit Rv.,Upstream of Detroit WWTP,Urban,-83.042198,42.325611,-83.067635,42.317375,11:57,12:17,3.7,4.3,916175,974631,1570.889659,0.000958243,"Greg, Sarah, Emma, Rachel, Melissa D.",0,39.66,3.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
NK 0007,NK 0007-3,23-May-14,Detroit Rv.,Upstream of Detroit WWTP,Urban,-83.082077,42.307514,-83.075256,42.312759,12:35,12:55,1.3,1.7,974631,055274,2167.121506,0.001321944,"Greg, Sarah, Emma, Rachel, Melissa D.",0,43.27,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA
NK 0008,NK 0008-2,23-May-14,Detroit Rv.,Detroit WWTP,WWTP,-83.106598,42.278366,-83.116821,42.258652,15:18,15:38,3.9,4.0,244821,306706,1663.037268,0.001014453,"Greg, Sarah, Emma, Rachel, Melissa D.",0,59.37,9.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
