"","station","size_fraction_um","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","StDev.","IQR","Range","MNR","CoV"
"1","AIV 0001","106-1000",148200,148200,148200,148200,148200,148200,NA,0,0,0,NA
"2","AIV 0001","1000-4750",0,2679,5358,6632,9948,14540,7352,7269,14540,2.192,1.109
"3","AIV 0001",">4750",0,0,0,0,0,0,0,0,0,NA,NA
"4","AIV 0002","1000-4750",8856,10630,12400,12470,14280,16170,3657,3656,7314,0.587,0.293
"5","AIV 0002",">4750",0,0,0,0,0,0,0,0,0,NA,NA
"6","AIV 0003","1000-4750",0,6746,13490,9077,13620,13740,7862,6870,13740,1.514,0.866
"7","AIV 0003",">4750",0,0,0,0,0,0,0,0,0,NA,NA
"8","AIV 0004","106-1000",810100,810100,810100,810100,810100,810100,NA,0,0,0,NA
"9","AIV 0004","1000-4750",2542,5170,7799,8024,10760,13730,5597,5594,11188,1.394,0.698
"10","AIV 0004",">4750",0,0,0,0,0,0,0,0,0,NA,NA
"11","AIV 0005","106-1000",255700,255700,255700,255700,255700,255700,NA,0,0,0,NA
"12","AIV 0005","1000-4750",0,544.7,1089,2177,3265,5441,2879,2721,5441,2.499,1.322
"13","AIV 0005",">4750",0,0,0,0,0,0,0,0,0,NA,NA
"14","AIV 0006","1000-4750",0,0,0,276.1,414.1,828.2,478,414,828.2,3,1.731
"15","AIV 0006",">4750",0,0,0,828.2,1242,2485,1435,1242,2485,3,1.733
"16","AIV 0007","106-1000",126900,126900,126900,126900,126900,126900,NA,0,0,0,NA
"17","AIV 0007","1000-4750",0,0,0,701.5,1052,2104,1215,1052,2104,2.999,1.732
"18","AIV 0007",">4750",0,0,0,0,0,0,0,0,0,NA,NA
"19","AIV 0009","106-1000",151300,163000,174800,170100,179600,184300,17009,16519,33000,0.194,0.1
"20","AIV 0009","1000-4750",0,542.9,1086,951.7,1428,1769,892,885,1769,1.859,0.937
"21","AIV 0009",">4750",0,0,0,0,0,0,0,0,0,NA,NA
"22","AIV 0010","106-1000",176500,201000,225400,229700,256400,287300,55551,55424,110800,0.482,0.242
"23","AIV 0010","1000-4750",0,1456,2912,3703,5555,8197,4155,4098,8197,2.214,1.122
"24","AIV 0010",">4750",0,0,0,341.5,512.3,1025,592,512,1025,3.001,1.734
"25","NK 0003","1000-4750",0,685.8,1372,1372,2057,2743,1940,1372,2743,1.999,1.414
"26","NK 0003",">4750",0,0,0,0,0,0,0,0,0,NA,NA
"27","NK 0004","1000-4750",2929,2929,2929,2929,2929,2929,NA,0,0,0,NA
"28","NK 0004",">4750",0,0,0,0,0,0,NA,0,0,NA,NA
"29","NK 0005","106-1000",386500,397400,408400,408400,419400,430300,31019,21934,43800,0.107,0.076
"30","NK 0005","1000-4750",10380,10900,11420,11420,11940,12470,1475,1043,2090,0.183,0.129
"31","NK 0005",">4750",0,235.9,471.8,471.8,707.8,943.7,667,472,943.7,2,1.414
"32","NK 0006","106-1000",643300,782500,921600,921600,1061000,1200000,393562,278290,556700,0.604,0.427
"33","NK 0006","1000-4750",12590,20170,27750,22880,28030,28300,8914,7854,15710,0.687,0.39
"34","NK 0006",">4750",0,0,0,285.9,428.8,857.7,495,429,857.7,3,1.731
"35","NK 0007","1000-4750",7565,10040,12520,20110,26380,40240,17607,16336,32675,1.625,0.876
