"trawl","station","106-1000","1000-4750",">4750","total_concentration","trawl_date","water_body","location","station_class","lon_start","lat_start","lon_end","lat_end","time_start","time_end","vessel_speed_start_knts","vessel_speed_end_knts","flowm_read_start","flowm_read_end","flowm_dist_m","flowm_area_km2","team","sea_state","wet_mass","dry_mass","air_vel_avg_kt","cloud_cover_avg","air_temp_avg_C","water_temp_avg_C","E_wtr_vel_surf_avg_kt","N_wtr_vel_surf_avg_kt","wv_drctn_avg","wv_prd_avg","sig_wv_ht_avg_m"
"AIV 0001-2","AIV 0001",148239.6982,5358.063156,0,153597.761356,"8-Jul-14","Lake Huron","Pt. Lookout","Non urban","-83.523333","44.138333","-83.518700","44.156050","11:22","11:45",2.4,NA,"105394","139550",917.8751059,0.000559904,"Greg, Rachel, BaySail","0-1",77.59,3.84,8.23209,0.84354,18.12762963,18.35948704,0.118466667,-0.006206667,13.80295,1.804933333,0.170175974
"AIV 0004-3","AIV 0004",810082.5497,13730.21271,0,823812.76241,"3-Aug-14","Lake Huron","Near Gravvely Pt.","Non urban","-83.532700","44.028817","-83.528367","44.045750","13:37","13:57",3.4,3.5,"782380","791266",238.7937168,0.000145664,"Greg, Rachel, BaySail","0",353.08,7.87,2.270926667,0.09393,21.7280287,20.88668796,-0.03629,0.053076667,204.7698217,1.239886667,0.064638706
"AIV 0005-1","AIV 0005",255745.082,5441.38213,0,261186.46413,"5-Aug-14","Lake Huron","Drummond Island","Non urban","-83.506017","46.047433","-83.515467","46.064267","13:06","13:26",3.9,3.8,"791278","836122",1205.094017,0.000735107,"Greg, Rachel, BaySail","0",45.49,2.45,6.17063,0.28785,20.43122222,19.10814445,-0.01174,0.09368,237.41501,2.4471,0.280096318
"AIV 0007-1","AIV 0007",126933.4891,0,0,126933.4891,"8-Aug-14","Lake Huron","Straits of Mackinac","Non urban","-84.578583","45.852817","-84.555533","45.861017","16:29","16:49",2.9,2.3,"136730","191037",1459.39347,0.00089023,"Greg, Rachel, BaySail","0",50.4,1.78,6.057561667,0.030981667,21.12866759,20.78201203,0.005481667,0.034,262.9843367,1.15264,0.056631005
"AIV 0009-1","AIV 0009",184317.3994,0,0,184317.3994,"10-Aug-14","Lake Huron","En Route to Presque Ile","Non urban","-","-","-83.653400","45.496933","14:40","15:00",3.6,4.5,"451740","505026",1431.95611,0.000873493,"Greg, Rachel, BaySail","1-2",4.7,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIV 0009-2","AIV 0009",174813.3233,1085.797039,0,175899.120339,"10-Aug-14","Lake Huron","En Route to Presque Ile","Non urban","-83.652283","45.483717","-","-","15:13","15:33",2.8,3,"505026","561209",1509.807269,0.000920982,"Greg, Rachel, BaySail","1-2",14.63,0.14,7.120066667,0,21.13580556,20.41956296,-0.206091667,0.009355,271.40226,1.331758333,0.102364261
"AIV 0009-3","AIV 0009",151278.6457,1769.340886,0,153047.986586,"10-Aug-14","Lake Huron","En Route to Presque Ile","Non urban","-83.640350","45.447550","-","45.425500","15:49","16:09",3,3.3,"561209","630165",1853.056441,0.001130364,"Greg, Rachel, BaySail","1-2",23.72,0.26,6.561615,0,20.97279074,19.89492777,-0.147776667,-0.039205,265.80202,1.307603333,0.095207978
"AIV 0010-1","AIV 0010",176486.6376,0,0,176486.6376,"11-Aug-14","Lake Huron","Near Alpena","Non urban","-83.259450","45.222000","-83.253700","45.238700","13:31","13:51",3,3.6,"630162","694108",1718.422576,0.001048238,"Greg, Rachel, BaySail","2",10.37,0.21,8.909856667,0.182683333,20.74511852,20.02039537,-0.0651,0.108031667,288.2798033,2.27926,0.2878109
"AIV 0010-2","AIV 0010",225414.6862,8196.897679,1024.61221,234636.196089,"11-Aug-14","Lake Huron","Near Alpena","Non urban","-83.249483","45.227767","-83.242700","45.210783","16:04","16:24",3.3,3.4,"694123","753661",1599.966274,0.000975979,"Greg, Rachel, BaySail","2",37.38,0.25,6.787846667,0.13612,20.74594815,19.52871852,0.03144,0.16074,2694511.467,2.925313333,0.362234821
"AIV 0010-3","AIV 0010",287334.9009,2912.178049,0,290247.078949,"11-Aug-14","Lake Huron","Near Alpena","Non urban","-83.236167","45.197833","-83.226983","45.180050","16:39","16:59",3.2,3.3,"753660","816503",1688.781628,0.001030157,"Greg, Rachel, BaySail","2",84.77,0.33,6.31199,0.21207,20.72900278,20.04354723,-0.04957,0.148125,288.49928,2.876365,0.362506096
